stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00552,00552,"Amsterdam, Kraaienneststation",52.31686,4.981563,0,stoparea:GVB:09548,,1,,
GVB:00553,00553,"Amsterdam, Kraaienneststation",52.316012,4.980735,0,stoparea:GVB:09548,,0,,
GVB:00554,00554,"Amsterdam, Science Park",52.354472,4.950879,0,stoparea:GVB:00554,,0,,
GVB:00555,00555,"Amsterdam, Science Park",52.354857,4.950332,0,stoparea:GVB:00554,,0,,
GVB:00556,00556,"Amsterdam, C. Mac Gillavrylaan",52.357631,4.944697,0,stoparea:GVB:00556,,0,,
GVB:00557,00557,"Amsterdam, C. Mac Gillavrylaan",52.357719,4.944212,0,stoparea:GVB:00556,,0,,
GVB:00559,00559,"Amsterdam, Station Bijlmer ArenA",52.311211,4.947535,0,stoparea:GVB:09522,,1,F,
GVB:00560,00560,"Amsterdam, Station Bijlmer ArenA",52.311255,4.947476,0,stoparea:GVB:09522,,1,E,
GVB:00562,00562,"Amsterdam, Station Bijlmer ArenA",52.311381,4.947357,0,stoparea:GVB:09522,,0,C,
GVB:00563,00563,"Amsterdam, Station Bijlmer ArenA",52.311417,4.947313,0,stoparea:GVB:09522,,1,B,
GVB:00570,00570,"Amsterdam, Stationsweg",52.324173,4.931404,0,stoparea:GVB:00570,,1,,
GVB:00571,00571,"Amsterdam, Stationsweg",52.324244,4.93111,0,stoparea:GVB:00570,,1,,
GVB:00573,00573,"Amsterdam, H.J.E. Wenckebachweg",52.341221,4.919372,0,stoparea:GVB:00573,,0,,
GVB:00574,00574,"Amsterdam, H.J.E. Wenckebachweg",52.341284,4.919562,0,stoparea:GVB:00573,,0,,
GVB:00578,00578,"Amsterdam, De Flinesstraat",52.327453,4.92672,0,stoparea:GVB:00578,,,,
GVB:00579,00579,"Amsterdam, De Flinesstraat",52.327641,4.926468,0,stoparea:GVB:00579,,,,
GVB:00601,00601,"Weesp, Van Houtenlaan",52.303816,5.037117,0,stoparea:GVB:00601,,1,,
GVB:00602,00602,"Weesp, Van Houtenlaan",52.303762,5.036898,0,stoparea:GVB:00602,,1,,
GVB:00603,00603,"Weesp, V. Houten Ind.park",52.306482,5.035806,0,stoparea:GVB:00603,,0,,
GVB:00604,00604,"Weesp, V. Houten Ind.park",52.306427,5.035645,0,stoparea:GVB:00604,,0,,
GVB:00651,00651,"Weesp, Casparuslaan",52.309114,5.035316,0,stoparea:GVB:00651,,1,,
GVB:00652,00652,"Weesp, Casparuslaan",52.309239,5.035168,0,stoparea:GVB:00652,,1,,
GVB:00653,00653,"Weesp, Winkelcentrum",52.310257,5.032931,0,stoparea:GVB:00653,,0,,
GVB:00655,00655,"Weesp, Sinnigvelderstraat",52.310271,5.028723,0,stoparea:GVB:00655,,0,,
GVB:00665,00665,"Weesp, Station Weesp",52.311448,5.043832,0,stoparea:GVB:00665,,1,,
GVB:00675,00675,"Weesp, J.H.Leopoldhof",52.31219,5.03906,0,stoparea:GVB:00675,,0,,
GVB:00678,00678,"Weesp, J.H.Leopoldhof",52.312306,5.038927,0,stoparea:GVB:00678,,1,,
GVB:00901,00901,"Diemen, Stammerkamp",52.333339,4.982923,0,stoparea:GVB:00901,,0,,
GVB:00902,00902,"Diemen, Stammerkamp",52.333206,4.983438,0,stoparea:GVB:00901,,0,,
GVB:00966,00966,"Diemen, Tureluurweg",52.350682,4.979316,0,stoparea:GVB:00966,,0,,
GVB:00967,00967,"Diemen, Landlust",52.347635,4.971595,0,stoparea:GVB:00967,,0,,
GVB:00970,00970,"Diemen, Diemen Noord",52.346974,4.985911,0,stoparea:GVB:00970,,0,,
GVB:00971,00971,"Diemen, Rietzangerweg",52.350843,4.973826,0,stoparea:GVB:00971,,0,,
GVB:00972,00972,"Diemen, Oude Waelweg",52.351273,4.971062,0,stoparea:GVB:00972,,0,,
GVB:00973,00973,"Diemen, Vogelweg",52.349152,4.973563,0,stoparea:GVB:00973,,0,,
GVB:00974,00974,"Diemen, Buytenweg",52.349141,4.970466,0,stoparea:GVB:00974,,0,,
GVB:00975,00975,"Diemen, Station Diemen",52.344942,4.967424,0,stoparea:GVB:00975,,1,,
GVB:00976,00976,"Diemen, Klipperweg",52.34878,4.982886,0,stoparea:GVB:00976,,0,,
GVB:00977,00977,"Diemen, Klipperweg",52.348994,4.982561,0,stoparea:GVB:00976,,0,,
GVB:00978,00978,"Diemen, Tureluurweg",52.350861,4.979036,0,stoparea:GVB:00966,,0,,
GVB:00979,00979,"Diemen, Meerkoet",52.352173,4.976352,0,stoparea:GVB:00979,,0,,
GVB:00980,00980,"Diemen, Zeezigt",52.35262,4.975805,0,stoparea:GVB:00980,,0,,
GVB:00985,00985,"Diemen, Winkelcentrum",52.341866,4.964224,0,stoparea:GVB:00985,,1,,
GVB:00986,00986,"Diemen, Prins Bernhardlaan",52.338051,4.968134,0,stoparea:GVB:00986,,1,,
GVB:00989,00989,"Diemen, Martin L.Kinglaan",52.343183,4.965635,0,stoparea:GVB:00989,,0,,
GVB:00990,00990,"Diemen, Martin L.Kinglaan",52.343074,4.965269,0,stoparea:GVB:00989,,0,,
GVB:00991,00991,"Diemen, Station Diemen",52.345492,4.967844,0,stoparea:GVB:00975,,1,,
GVB:00992,00992,"Diemen, Pr. Beatrixlaan",52.339883,4.967706,0,stoparea:GVB:00992,,1,,
GVB:00994,00994,"Diemen, Burg. Bickerstraat",52.341151,4.962778,0,stoparea:GVB:00985,,1,,
GVB:00998,00998,"Diemen, Vinkenbrug",52.333711,4.978783,0,stoparea:GVB:00998,,0,,
GVB:00999,00999,"Diemen, Vinkenbrug",52.333701,4.978313,0,stoparea:GVB:00998,,0,,
GVB:01001,01001,"Amsterdam, Hilversumstraat",52.390254,4.958841,0,stoparea:GVB:01001,,0,,
